Disease,Symptoms,Severity,Precautions,Diet_Recommendations,Description
Bacterial Pneumonia,concentration problems;swelling;frequent urination;chills;redness;cough,Severe,Urgent specialist consultation required,Diabetic-friendly low glycemic index foods,Acute infectious condition needing prompt treatment
Viral Pneumonia,blurred vision;shortness of breath;skin lesions,Mild,Over-the-counter medications and rest,Adequate hydration and nutrient-dense foods,Chronic infectious disease requiring ongoing care
Atypical Pneumonia,sleep problems;mood changes;diarrhea;difficulty breathing;incontinence,Moderate,Medication compliance and lifestyle modifications needed,Adequate hydration and nutrient-dense foods,Acute infectious condition needing prompt treatment
Pneumocystis Pneumonia,eye pain;stiffness;runny nose;vision loss;weight gain;loss of appetite;fever,Severe,Urgent specialist consultation required,"Soft diet with small, frequent meals",Acute infectious condition needing prompt treatment
Bacterial Meningitis,tinnitus;sneezing;seizures;palpitations;headache;ear pain;stiffness,Mild,Self-care measures and symptom monitoring,Probiotic foods and gut-healthy nutrition,Complex infectious disorder affecting quality of life
Viral Meningitis,bruising;stiffness;limited mobility;ear pain;weight gain,Mild,Primary care consultation if symptoms persist,"Soft diet with small, frequent meals",Serious infectious condition with potential complications
Fungal Meningitis,swelling;confusion;leg pain;paralysis;chest tightness;skin rash;difficulty swallowing,Severe,Urgent specialist consultation required,Diabetic-friendly low glycemic index foods,Acute infectious condition needing prompt treatment
Tuberculous Meningitis,pelvic pain;eye pain;constipation;numbness;blood in urine,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,Chronic infectious disease requiring ongoing care
Cellulitis,fatigue;limited mobility;painful urination;kidney pain;weight loss;swelling,Moderate,Medication compliance and lifestyle modifications needed,Adequate hydration and nutrient-dense foods,Complex infectious disorder affecting quality of life
Necrotizing Fasciitis,floaters;bloating;chills,Moderate,Regular diagnostic testing and assessment required,Probiotic foods and gut-healthy nutrition,Serious infectious condition with potential complications
Septic Arthritis,stiffness;numbness;vomiting;muscle pain;skin rash,Moderate,Specialist consultation recommended,"High fiber, low processed food diet",Complex infectious disorder affecting quality of life
Osteomyelitis,blurred vision;depression;diarrhea;difficulty breathing;bleeding;heartburn;sleep problems,Moderate,Medication compliance and lifestyle modifications needed,Iron-rich foods with vitamin C enhancement,Chronic infectious disease requiring ongoing care
Infective Endocarditis,weight gain;joint pain;heartburn;redness;constipation;back pain,Severe,Emergency intervention and life support may be necessary,"High fiber, low processed food diet",Serious infectious condition with potential complications
Pericarditis,blurred vision;paralysis;swelling,Severe,Immediate emergency medical attention required,Iron-rich foods with vitamin C enhancement,Complex infectious disorder affecting quality of life
Myocarditis,difficulty swallowing;fatigue;sputum production,Moderate,Specialist consultation recommended,"Low sodium, heart-healthy Mediterranean diet",Complex infectious disorder affecting quality of life
Abscess Formation,dizziness;eye pain;bleeding,Moderate,Medication compliance and lifestyle modifications needed,Probiotic foods and gut-healthy nutrition,infectious condition requiring medical management
Impetigo,paralysis;concentration problems;pelvic pain;hemoptysis;ear pain,Moderate,Regular diagnostic testing and assessment required,Balanced nutrition with adequate protein and vitamins,infectious condition requiring medical management
Erysipelas,pelvic pain;constipation;dry eyes;palpitations;seizures;back pain,Mild,Lifestyle modifications and preventive measures,Anti-inflammatory diet rich in omega-3 fatty acids,Complex infectious disorder affecting quality of life
Folliculitis,painful urination;night sweats;skin rash;tremor;headache;leg pain;constipation,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Serious infectious condition with potential complications
Carbuncle,nausea;cough;bloating;heartburn;kidney pain;night sweats;shortness of breath,Moderate,Regular medical follow-up and monitoring required,Balanced nutrition with adequate protein and vitamins,Acute infectious condition needing prompt treatment
Furuncle,swelling;ear pain;difficulty swallowing;shortness of breath,Mild,Primary care consultation if symptoms persist,Iron-rich foods with vitamin C enhancement,Acute infectious condition needing prompt treatment
Gastroenteritis,swelling;abdominal pain;chest tightness;vision loss;wheezing;nasal congestion;difficulty breathing,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",infectious condition requiring medical management
Clostridium Difficile Colitis,tremor;sore throat;painful urination,Severe,Emergency intervention and life support may be necessary,Iron-rich foods with vitamin C enhancement,Serious infectious condition with potential complications
Infectious Diarrhea,stiffness;weakness;watery eyes;runny nose;loss of appetite;seizures;pelvic pain,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",infectious condition requiring medical management
Hepatitis A,blood in urine;sensitivity to light;numbness;weight gain;leg pain,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Chronic infectious disease requiring ongoing care
Hepatitis B,vomiting;frequent urination;bruising;cold extremities,Severe,Emergency intervention and life support may be necessary,Adequate hydration and nutrient-dense foods,infectious condition requiring medical management
Hepatitis C,swelling;tinnitus;tingling;hemoptysis,Severe,Urgent specialist consultation required,"Low sodium, heart-healthy Mediterranean diet",Serious infectious condition with potential complications
Hepatitis E,loss of appetite;blood in urine;difficulty breathing,Mild,Self-care measures and symptom monitoring,Balanced nutrition with adequate protein and vitamins,Chronic infectious disease requiring ongoing care
Cytomegalovirus,sputum production;neck pain;incontinence;diarrhea,Mild,Over-the-counter medications and rest,Calcium and vitamin D rich foods,infectious condition requiring medical management
Epstein-Barr Virus,night sweats;hemoptysis;bloating;chills;paralysis;concentration problems,Severe,Urgent specialist consultation required,"High fiber, low processed food diet",Serious infectious condition with potential complications
Herpes Simplex,weight loss;diarrhea;chills;depression;numbness;skin lesions,Mild,Lifestyle modifications and preventive measures,"High fiber, low processed food diet",Acute infectious condition needing prompt treatment
